Exchange,Name,Type,Min Order Size,Min Grid Step
BYBT,XAIUSDT,USDT_FUTURES,2 XAI,0.00002 USDT
BYBT,WIFUSDT,USDT_FUTURES,2 WIF,0.0002 USDT
BYBT,MANTAUSDT,SPOT,BUY: 20 USDT / SELL: 4.1 MANTA,0.0002 USDT
BYBT,ONDOUSDT,SPOT,BUY: 7 USDT / SELL: 7 ONDO,0.0002 USDT
BYBT,MANTAUSDT,USDT_FUTURES,0.4 MANTA,0.0002 USDT
BYBT,MYROUSDT,USDT_FUTURES,3 MYRO,0.00002 USDT
BYBT,ONDOUSDT,USDT_FUTURES,3 ONDO,0.0002 USDT
BYBT,ALTUSDT,USDT_FUTURES,2 ALT,0.00002 USDT
BYBT,TAOUSDT,USDT_FUTURES,0.003 TAO,0.02 USDT
BYBT,10000WENUSDT,USDT_FUTURES,2 10000WEN,0.0002 USDT
BYBT,JUPUSDT,SPOT,BUY: 20 USDT / SELL: 3 JUP,0.0002 USDT
BYBT,JUPUSDT,USDT_FUTURES,2 JUP,0.0002 USDT
BYBT,ZETAUSDT,SPOT,BUY: 20 USDT / SELL: 4.9 ZETA,0.0002 USDT
BYBT,ZETAUSDT,USDT_FUTURES,2 ZETA,0.0002 USDT
BYBT,CETUSUSDT,USDT_FUTURES,3 CETUS,0.00002 USDT
BYBT,MAVIAUSDT,SPOT,BUY: 20 USDT / SELL: 9 MAVIA,0.00002 USDT
BYBT,DYMUSDT,SPOT,BUY: 20 USDT / SELL: 3.4 DYM,0.0002 USDT
BYBT,DYMUSDT,USDT_FUTURES,0.2 DYM,0.0002 USDT
BYBT,MAVIAUSDT,USDT_FUTURES,0.3 MAVIA,0.0002 USDT
BYBT,STRKUSDT,SPOT,BUY: 7 USDT / SELL: 7 STRK,0.0002 USDT
BYBT,PIXELUSDT,USDT_FUTURES,2 PIXEL,0.00002 USDT
BYBT,STRKUSDT,USDT_FUTURES,0.2 STRK,0.0002 USDT
BYBT,1000TURBOUSDT,USDT_FUTURES,3 1000TURBO,0.0002 USDT
BYBT,AEVOUSDT,USDT_FUTURES,0.3 AEVO,0.0002 USDT
BYBT,BOMEUSDT,USDT_FUTURES,200 BOME,0.000002 USDT
BYBT,BOMEUSDT,SPOT,BUY: 20 USDT / SELL: 795 BOME,0.000002 USDT
BYBT,OMUSDT,USDT_FUTURES,3 OM,0.0002 USDT
BYBT,WENUSDT,SPOT,BUY: 20 USDT / SELL: 45999 WEN,0.00000002 USDT
BYBT,POPCATUSDT,USDT_FUTURES,3 POPCAT,0.0002 USDT
BYBT,DEGENUSDT,USDT_FUTURES,30 DEGEN,0.000002 USDT
BYBT,ENAUSDT,SPOT,BUY: 7 USDT / SELL: 7 ENA,0.0002 USDT
BYBT,ENAUSDT,USDT_FUTURES,3 ENA,0.0002 USDT
BYBT,WUSDT,SPOT,BUY: 6 USDT / SELL: 12 W,0.00002 USDT
BYBT,WUSDT,USDT_FUTURES,1 W,0.00002 USDT
BYBT,SAGAUSDT,USDT_FUTURES,0.2 SAGA,0.0002 USDT
BYBT,OMNIUSDT,USDT_FUTURES,0.04 OMNI,0.002 USDT
BYBT,MERLUSDT,USDT_FUTURES,1 MERL,0.00002 USDT
BYBT,MEWUSDT,USDT_FUTURES,500 MEW,0.000002 USDT
BYBT,BRETTUSDT,USDT_FUTURES,20 BRETT,0.00002 USDT
OKX,CORE-USDT-SWAP,USDT_FUTURES,1 CORE,0.0002 USDT
OKX,PEPE-USDT-SWAP,USDT_FUTURES,1000000 PEPE,0.000000002 USDT
OKX,MERL-USDT-SWAP,USDT_FUTURES,1 MERL,0.00002 USDT
OKX,1INCH-USDT-SWAP,USDT_FUTURES,1 1INCH,0.0002 USDT
OKX,AAVE-USDT-SWAP,USDT_FUTURES,0.01 AAVE,0.02 USDT
OKX,AEVO-USDT-SWAP,USDT_FUTURES,1 AEVO,0.00002 USDT
OKX,AGLD-USDT-SWAP,USDT_FUTURES,1 AGLD,0.0002 USDT
OKX,ALGO-USDT-SWAP,USDT_FUTURES,10 ALGO,0.0002 USDT
OKX,APE-USDT-SWAP,USDT_FUTURES,0.1 APE,0.0002 USDT
OKX,APT-USDT-SWAP,USDT_FUTURES,1 APT,0.002 USDT
OKX,AR-USDT-SWAP,USDT_FUTURES,0.1 AR,0.002 USDT
OKX,ARB-USDT-SWAP,USDT_FUTURES,1 ARB,0.0002 USDT
OKX,ATOM-USDT-SWAP,USDT_FUTURES,1 ATOM,0.002 USDT
OKX,AUCTION-USDT-SWAP,USDT_FUTURES,0.1 AUCTION,0.002 USDT
OKX,AVAX-USDT-SWAP,USDT_FUTURES,0.1 AVAX,0.002 USDT
